Turtle_ID,Date,R_Eye,L_Eye,Inside_Mouth,Neck,Base_Front_Flippers,Base_Rear_Flippers,Along_Front_Flippers,Along_Rear_Flippers,Around_Tail,On_Carapace,On_Plastron,Other,Other location,Total- ,Balaz score ,Notes
80,,7,2,NA,1,5,12,6,NA,3,NA,1,NA,NA,37,2,
81,,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3,1,
83,,1,1,NA,1,7,17,5,NA,3,NA,1,NA,NA,36,1,
84,,NA,NA,NA,NA,2,3,2,1,NA,1,NA,NA,NA,9,1,
89,,NA,NA,NA,1,N,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
90,,1,NA,NA,3,2,14,2,1,NA,NA,1,NA,NA,24,2,
91,,NA,NA,NA,NA,N,1,NA,NA,NA,NA,NA,NA,NA,1,1,
98,,NA,NA,NA,4,5,10,6,1,1,NA,NA,NA,NA,27,2,
99,,NA,NA,NA,NA,6,7,NA,NA,1,NA,NA,NA,NA,14,1,
100,,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,7,1,
103,,NA,NA,NA,NA,2,7,NA,NA,1,1,NA,NA,NA,11,1,
104,,NA,NA,NA,2,2,3,NA,NA,NA,NA,1,NA,NA,8,1,
106,,NA,1,NA,NA,2,15,9,NA,NA,NA,1,NA,NA,28,1,
107,,NA,NA,NA,2,5,4,5,1,NA,NA,NA,NA,NA,17,1,
108,,NA,NA,NA,NA,2,2,1,NA,1,NA,NA,NA,NA,6,1,
109,,NA,1,NA,2,13,17,8,NA,4,NA,NA,NA,NA,45,2,
110,,NA,NA,NA,1,N,3,4,3,NA,NA,NA,NA,NA,11,1,
116,,NA,NA,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,7,1,
118,,NA,NA,NA,2,3,13,NA,NA,NA,NA,NA,NA,NA,18,1,
119,,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,4,1,
BM05,,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
BM06,,1,2,NA,3,3,9,3,1,1,NA,NA,NA,NA,23,2,
BM07,,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,6,1,
BM07,,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,5,1,
BM08,,1,NA,NA,1,8,7,NA,NA,NA,NA,NA,NA,NA,17,3,
BM09,,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,5,1,
BM12,,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,
BM12,,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,
BM16,,1,1,NA,2,4,1,1,1,1,NA,NA,NA,NA,12,1,
BM21,,NA,NA,NA,4,4,11,1,1,2,NA,NA,NA,NA,23,1,
BM22,,1,1,NA,NA,10,8,3,NA,NA,1,1,NA,NA,25,2,
BM23,,3,2,NA,1,6,7,NA,NA,NA,1,NA,NA,NA,20,2,
BM24,,1,3,NA,2,5,11,4,1,2,NA,NA,NA,NA,38,3,
BM25,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,NA,1,,
BM26,,1,1,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,7,2,
BM27,,1,NA,NA,1,10,49,3,3,1,NA,NA,NA,NA,68,2,
BM34,,1,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,7,1,
BM38,,1,1,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,7,1,
BM40,,2,1,NA,1,7,9,4,2,NA,NA,NA,NA,NA,26,2,
120CR,,NA,NA,NA,NA,6,9,14,1,6,1,NA,NA,NA,38,2,
121CR,,1,NA,NA,4,15,15,5,NA,NA,NA,NA,1,Face,41,1,
